dynasty,time_from,time_to
漢,-202,220
西漢,-201,8
新,8,23
東漢,25,220
曹魏,220,265
蜀漢,221,263
吳,229,280
西晉,265,316
晉,265,420
東晉,317,420
前涼,301,387
前秦/符秦,351,394
後秦/姚秦,384,417
西秦/乞伏秦,385,431
北涼,397,460
南北朝,439,589
劉宋,420,479
元魏/北魏/後魏,386,534
東魏,534,550
西魏,535,557
蕭齊/南齊,479,502
梁/蕭梁,502,557
北齊/高齊,550,577
北周/宇文周,557,581
陳,557,589
隋,581,618
唐,618,907
武周,690,705
後梁/朱梁,907,923
後唐,923,936
後晉/石晉,936,947
後漢,947,951
後周,951,960
南唐,937,975
南漢,917,971
遼,907,1125
宋,960,1279
北宋,960,1127
南宋,1127,1279
夏/西夏,1032,1227
金,1115,1234
元,1271,1368
明,1368,1644
清,1644,1911
新羅,-56,936
高麗,918,1392
民國,1912,9999
日本,,
unknown,,
